Sl.Num,ProductName,nd,AgeGroup,Gender,Sentiment,,,,,,
50,Goodknight 100% Natural Mosquito Repellent Patches (Pack of 60),https://www.amazon.in/Goodknight-Natural-Mosquito-Repellent-Patches/dp/B07VXJCHKD/ref=sxin_9_sxwds-deals-bau?cv_ct_cx=mosquito+repellent&dchild=1&keywords=mosquito+repellent&pd_rd_i=B07VXJCHKD&pd_rd_r=2d80e0b4-457b-4f81-b538-0e3cd5baf868&pd_rd_w=XsXaL&pd_rd_wg=eWAoy&pf_rd_p=0807c919-fb2a-41af-a0a2-947323eb9ae9&pf_rd_r=NVVWFF05GR0ZCRRVZR3W&psc=1&qid=1601625944&s=pantry&sr=1-1-7fa3d141-a589-4152-8d94-83ef17622796,"0,1","1,0","3,4,5,1,2,0",,,,,,
51,Godrej Good Knight Power Activ+ System - Mosquito Repellent Combo Pack (Machine + Refill),https://www.amazon.in/Good-knight-Power-Machine-Refill/dp/B00K67QPME/ref=sr_1_9?dchild=1&keywords=mortein+machine&qid=1601626221&sr=8-9,"0,1,2,3,4,5,6,7","1,0","3,4,5,1,2,0,6",,,,,,
52,HIT Cockroach Killer Spray,https://www.amazon.in/HIT-Cockroach-Killer-Spray-700ml/dp/B07WQJLYQM/ref=sr_1_7?crid=29JIMB3LM2EQD&dchild=1&keywords=cockroach+killer&qid=1601626284&sprefix=cockroach+%2Caps%2C305&sr=8-7,"2,3,4,5,6,7","1,0","4,5,1,2,0,6",,,,,,
53,mothercare ayr cot,https://www.mothercare.in/bedding-nursery-58781/furniture-58793/cot-bed-58798/mothercare-ayr-cot-768137,0,"1,0","3,4,5,1,2,0,6",,,,,,
54,Blumfye Hanger Plastic 12 Pieces Hanger Set for Wardrobe (Multicolour),https://www.amazon.in/Blumfye-Hanger-Plastic-Wardrobe-Multicolour/dp/B0825PK16Y/ref=sr_1_44?dchild=1&keywords=hangers+for+clothes&qid=1601626433&sr=8-44,"0,1,2,3,4,5,6,7","1,0","3,4,5",,,,,,
55,Eclipse Foam Mattress 70X140Cm,https://www.mothercare.in/bedding-nursery-58781/bedsheets-mattresses-58782/mattresses-58786/eclipse-foam-mattress-70x140cm-1067792,0,"1,0","3,4,5,1,2,0,6",,,,,,
56,Fancy Fluff Organic Cot Half Bumper,https://www.mothercare.in/bedding-nursery-58781/bedsheets-mattresses-58782/bumper-bed-sets-58784/fancy-fluff-organic-cot-half-bumper-arctic-1160704,0,"1,0","3,4,5,1,2,0,6",,,,,,
57,"Divine Overseas Microfiber Kids Printed Designer Bed Sheet (90"" x 100"" 1 Bedsheet + 2 Pillow Covers, Blue White Sunshine Stars)",https://www.amazon.in/Overseas-Microfiber-Kids-Printed-Designer/dp/B08CDLZC4V/ref=sr_1_1_sspa?dchild=1&keywords=kids+bedsheet&qid=1601626657&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyNlZIOUFHMENNSVdQJmVuY3J5cHRlZElkPUExMDIxMDI0M1IxUkE4TUVaVTNPQSZlbmNyeXB0ZWRBZElkPUEwNjA1ODQzMllFNjlLTjUwVEtXQSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"0,1","1,0","3,4,6",,,,,,
58,Divine Homes 170 TC Velvet Fabric Set of 2 Digitally Printed Peppa Pig Pillows for Kids; 12x18 inches; Multicolor,https://www.amazon.in/Divine-Homes-Digitally-Printed-Multicolor/dp/B0851KQHV8/ref=sr_1_7?dchild=1&keywords=pillows+kids&qid=1601626767&sr=8-7,"0,1","1,0","3,5,0,1,6,4",,,,,,
59,"Divayanshi Polycotton Mosquito net for Bed (Blue, 8 x 8 ft)",https://www.amazon.in/DIVYANSHI-MOSQUITO-NET-Double-POLLYCOTTON/dp/B07NBCP3S5/ref=sr_1_14?crid=1TE6VYCI78DQV&dchild=1&keywords=mosquito+net&qid=1601626865&sprefix=mos%2Caps%2C307&sr=8-14,"0,1,2,3,4,5,6,7","1,0","3,4,5,1,2,0,6",,,,,,
60,"Shopozo Cartoon Single Dohar(Poly Cotton, Multicolor)",https://www.flipkart.com/shopozo-cartoon-single-dohar/p/itmexnvmzzmymbzq?pid=BLAEXH3ZBTQGETEG&lid=LSTBLAEXH3ZBTQGETEG5HISGR&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=d0175531-124b-4163-96b6-0388ec5884d1.BLAEXH3ZBTQGETEG.SEARCH&ppt=sp&ppn=sp&ssid=pbuvim7uxc0000001601626947730&qH=52fb9a8dda37b4be,"0,1","1,0","3,4,6",,,,,,
61,DZert Giraffe Kids School Bag Soft Plush Backpacks Cartoon/Boy/Girl/Baby/ (2-5 Years),https://www.amazon.in/DZert-Giraffe-School-Backpacks-Cartoon/dp/B08BCPC662/ref=sr_1_3_sspa?dchild=1&keywords=kids+bag&qid=1601627053&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTklWUVJYRTE0WVRCJmVuY3J5cHRlZElkPUEwNzQzNzc1MzVIQzE5VVVXUVhSNyZlbmNyeXB0ZWRBZElkPUEwOTE3NzAyMUVPVkVRUjNZR1BLSSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,0,"1,0","3,4,5,1,6",,,,,,
62,my first little bear gift bag,https://www.mothercare.in/bedding-nursery-58781/gifts-keepsakes-58807/gifts-58808/my-first-little-bear-gift-bag-1163107,0,"1,0","3,4,6",,,,,,
63,Girls Gingham Ruffle Sandal - Navy,https://www.mothercare.in/footwear-accessories-58691/baby-footwear-58692/first-walkers-58694/first-walker-navy-gingham-ruffle-sandal-859934,0,0,"3,4,5,1,6",,,,,,
64,First Walker Dino Hi-Top Trainers,https://www.mothercare.in/footwear-accessories-58691/baby-footwear-58692/first-walkers-58694/first-walker-dino-hi-top-trainers-1067964,0,1,"3,4,5,1,6",,,,,,
65,Navy Glitter Chelsea Boots,https://www.mothercare.in/footwear-accessories-58691/kids-footwear-58705/boots-58706/navy-glitter-chelsea-boots-1067916,0,0,"3,4,6",,,,,,
66,Novelty Shark Cap,https://www.mothercare.in/footwear-accessories-58691/fashion-accessories-58696/caps-hats-58698/novelty-shark-cap-908916,0,1,"3,4,6",,,,,,
67,Coral Knit Beanie Hat,https://www.mothercare.in/footwear-accessories-58691/fashion-accessories-58696/caps-hats-58698/coral-knit-beanie-hat-653428,0,"1,0","3,4,6",,,,,,
68,Kidsville Girls Cap Frozen-Pink,https://www.mothercare.in/footwear-accessories-58691/fashion-accessories-58696/caps-hats-58698/kidsville-girls-cap-frozen-pink-922454,0,0,"3,4,6",,,,,,
69,NANDANA COLLECTIONS Disney Princess Barbie Hair Band,https://www.flipkart.com/nandana-collections-disney-princess-barbie-hair-band-combo-rainbow-colors-big-durable-wide-party-wear-daily-use-band-head-women-girls-pack-6-multicolor-blue-purple-red-white-pink-dark-pink-multicolor/p/itmbca6518c73992?pid=HACFVDGXVGHCTYGA&lid=LSTHACFVDGXVGHCTYGA3HNWKU&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=a0cc5875-a6d6-4701-aaed-39e59f813cb4.HACFVDGXVGHCTYGA.SEARCH&ppt=sp&ppn=sp&ssid=qra4omd0rk0000001601627734142&qH=bcb2aba996aae584,0,0,"3,4,6,1",,,,,,
70,"Polarized, Riding Glasses, UV Protection Oval Sunglasses (37)",https://www.flipkart.com/soku-shopee-oval-sunglasses/p/itm68e95de33ff6d?pid=SGLFUZTZJN5KFHSG&lid=LSTSGLFUZTZJN5KFHSGWG78WY&marketplace=FLIPKART&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=SEARCH&iid=2571d85e-f856-4c20-a21f-ca2ebd4b7bae.SGLFUZTZJN5KFHSG.SEARCH&ppt=sp&ppn=sp&ssid=t2shnyhkeo0000001601627779862&qH=9e9efed8151d1be5,0,"1,0","3,4,6,1",,,,,,
71,Stripe Magic Gloves,https://www.mothercare.in/footwear-accessories-58691/fashion-accessories-58696/mittens-gloves-58700/stripe-magic-gloves-653432,0,"1,0","3,4,6",,,,,,
72,Navy Knitted Scarf,https://www.mothercare.in/footwear-accessories-58691/fashion-accessories-58696/scarves-58701/navy-knitted-scarf-653421,0,"1,0","3,4,6",,,,,,
73,Nerf Delta Trooper Combat Blaster,https://www.mothercare.in/mcare-hamleys/mcare-hamleys-collectibles-toy-guns/nerf-delta-trooper-combat-blaster-891496,0,1,"3,4,6,5,0,1",,,,,,
74,Marvel Avengerstoy Storage Box For Kids,https://www.mothercare.in/mcare-hamleys/mcare-hamleys-collectibles-toy-guns/marvel-avengerstoy-storage-box-for-kids-1077556,0,"1,0","3,4",,,,,,
75,Bon Organik Mickey & Friends (OFFICIAL MERCHANDISE) 2 Ply Printed Cotton Cloth Face Mask Bundle For Kids,https://www.amazon.in/Bon-Organik-Friends-OFFICIAL-MERCHANDISE/dp/B089NLLYFL/ref=sr_1_10?dchild=1&keywords=kids+mask&qid=1601632364&sr=8-10,0,"1,0","3,4,1",,,,,,
76,Ferrari Twist Scooter - Black,https://www.mothercare.in/mcare-hamleys/mcare-hamleys-sports-ride-ons/ferrari-twist-scooter-black-1151041,0,"1,0","3,4,6,5",,,,,,
77,Ferrari Leather Soccer Ball (Red),https://www.mothercare.in/mcare-hamleys/mcare-hamleys-sports-ride-ons/ferrari-leather-soccer-ball-red-700749,0,1,"3,4,6,5",,,,,,
78,Silverlit Program- A-Bot White,https://www.mothercare.in/mcare-hamleys/mcare-hamleys-new-gen-toys/silverlit-program-a-bot-white-889737,0,1,"3,4,6,5",,,,,,
79,MONCI Milestone Laptop Bag for Women and Men | Backpacks for Girls Boys Stylish | Trending Backpack | School Bag | Bag for Boys Kids Girl | 15 Inch Laptop Bag | Blue (Black),https://www.amazon.in/MONCI-Milestone-Backpacks-Trending-Backpack/dp/B07Y3MC3G7/ref=sr_1_7?dchild=1&keywords=kids+school+bag&qid=1601632676&sr=8-7,"0,1","1,0","3,4,6,5",,,,,,
80,Hamleys Red Drinks Bottle,https://www.mothercare.in/mcare-hamleys/mcare-hamleys-school-supplies-bags/hamleys-red-drinks-bottle-1056392,"0,1","1,0","3,4,6,5",,,,,,
81,Dealcrox 3 Layers Cute Cartoon Lunch Box for Kids Tiffin Boxes Dinnerware Set Stainless Steel Thermal for School Students,https://www.amazon.in/Dealcrox-Cartoon-Dinnerware-Stainless-Students/dp/B08H2FL3W2/ref=sr_1_5?dchild=1&keywords=kids+lunch+box&qid=1601632788&sr=8-5,"0,1","1,0","3,4,6,5,0,1",,,,,,
